cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
341.0,1.9459101490553132,10.42821608147111,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,1.9459101490553132,9.367344120785848,1.3862943611198906,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
264.0,1.9459101490553132,9.367344120785848,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
811.0,2.0794415416798357,10.696480068065789,1.0986122886681096,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
578.0,1.9459101490553132,10.42821608147111,1.0986122886681096,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
651.0,1.9459101490553132,9.185022563991893,1.6094379124341003,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
223.0,1.791759469228055,9.185022563991893,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
418.0,1.9459101490553132,10.003332887505843,1.0986122886681096,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
407.0,1.9459101490553132,10.003332887505843,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
340.0,1.6094379124341003,9.041921720351219,0.6931471805599453,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
352.0,2.0794415416798357,10.42821608147111,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
717.0,2.0794415416798357,9.367344120785848,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
225.0,2.0794415416798357,8.268731832117737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
293.0,2.0794415416798357,11.002099841204238,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
329.0,1.9459101490553132,8.268731832117737,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
435.0,2.302585092994046,10.42821608147111,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
911.0,2.302585092994046,10.305613759378778,1.3862943611198906,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
436.0,1.791759469228055,8.268731832117737,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
514.0,2.0794415416798357,10.42821608147111,1.3862943611198906,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
437.0,2.0794415416798357,9.735068900911164,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
293.0,1.791759469228055,10.571316925111784,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
631.0,1.9459101490553132,11.002099841204238,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
455.0,1.9459101490553132,10.003332887505843,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
576.0,2.0794415416798357,10.42821608147111,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
400.0,2.302585092994046,10.003332887505843,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
